restaurant_id,restaurant_name,address,image_path_02
104,Ốc Phú Quốc - Kha Vạn Cân,"393 Kha Vạn Cân, P. Hiệp Bình Chánh, Tp. Thủ Đức, TP. HCM",images/banh_trang_gau_mi_nhon__tran_thanh_mai_272.jpg
105,Mì Kéo Kungfu Khải Ký - Điểm Tâm Hongkong,"116 - 118 Hà Tôn Quyền, Quận 11, TP. HCM",images/banh_trang_kim_ngoc__nguyen_trai_115.jpg
106,"Highlands Coffee - Trà, Cà Phê & Bánh - Kha Vạn Cân","891 Kha Vạn Cân, P. Linh Tây, Tp. Thủ Đức, TP. HCM",images/banh_trang_kim_ngoc__nguyen_trai_159.jpg
107,Phúc Long RomeA,"TTTM RomeA, 117 Nguyễn Đình Chiểu, P. 6, Quận 3, TP. HCM",images/banh_trang_kim_ngoc__nguyen_trai_97.jpg
108,Trà Sữa Feeling Tea - Đường 3 Tháng 2,"1230 - 1232 Đường 3 Tháng 2, P. 8, Quận 11, TP. HCM",images/banh_trang_muoi_toi__cao_thang_22.jpg
109,Quán Sóc Trăng 2 - Lẩu Cá Kèo,"2 Sư Thiện Chiếu, P. 7, Quận 3, TP. HCM",images/banh_trang_muoi_toi__cao_thang_32.jpg
110,Yoko Sushi,"36/46/4 Kinh Dương Vương, P. 13, Quận 6, TP. HCM",images/banh_trang_muoi_tom__tue_tinh_182.jpg
111,Bún Quậy Tâm Quán - Phan Đình Phùng,"311 Phan Đình Phùng, P. 15, Quận Phú Nhuận, TP. HCM",images/banh_trang_muoi__ca_vien_chien_183.jpg
112,Bánh Canh Cua Loan - Nguyễn Công Trứ,"392 Nguyễn Công Trứ, P. Cầu Ông Lãnh, Quận 1, TP. HCM",images/banh_trang_toi_ot_co_giang_435.jpg
113,Súp Cua Dũng - Cư Xá Vĩnh Hội,"38 Lô O - Cư Xá Vĩnh Hội - Nguyễn Hữu Hào, P. 9, Quận 4, TP. HCM",images/banh_trang_top_mo_trung_long_ao__them_gi_cung_co__binh_gia_282.jpg
114,Nhà Đậu - Bún Đậu Mắm Tôm - Lê Văn Sỹ,"262/10 Lê Văn Sỹ, P.14, Quận 3, TP. HCM",images/banh_trang_tron_2_u__banh_trang_tron_top_mo_trung_cut_long_ao__1170_truong_sa_701.jpg
115,Nhà Đậu - Bún Đậu Mắm Tôm - Dương Bá Trạc,"288/5 Dương Bá Trạc, P. 2, Quận 8, TP. HCM",images/banh_trang_tron__an_vat_co_bong_9_758.jpg
116,Bánh Tráng Chấm Cô Gánh - Chung Cư A4 Phan Xích Long,"Lô D001 Chung Cư A4 Phan xích Long, P. 7, Quận Phú Nhuận, TP. HCM",images/banh_trang_ut_hanh_625.jpg
117,Bún Riêu Cua Ốc 66 - Chợ Võ Văn Tần,"287/66 Nguyễn Đình Chiểu, Quận 3, TP. HCM",images/banh_tuoi_homemade_699.jpg
118,Toohai Bar - Rooftop Beta Building,"Lầu 8 Beta Building, 55 Nam Kỳ Khởi Nghĩa, P. Nguyễn Thái Bình, Quận 1, TP. HCM",images/banh_uot_992__uong_3_thang_2_542.jpg
119,MyLife Coffee - Trần Hưng Đạo,"257 Trần Hưng Đạo, Quận 1, TP. HCM",images/banh_uot_long_ga_hong_le_79.jpg
120,Đất Cafe - Phong Cách Nhà Vườn,"343/5 Tô Hiến Thành, P. 12, Quận 10, TP. HCM",images/banh_uot_long_ga_hong_le_84.jpg
121,"Na & ỔI - Chè, Sâm Bổ Lượng & Trà Sữa","26 Tân Quý, P. Tân Quý, Quận Tân Phú, TP. HCM",images/banh_xeo_co_dung_661.jpg
122,Lotteria - Hoà Bình CoopMart,"175 Hòa Bình, P. Hiệp Tân, Quận Tân Phú, TP. HCM",images/banh_xeo_quang_ngai_619.jpg
123,Hủ Tiếu Chay - Trường Sơn,"49 Trường Sơn, P. 15, Quận 10, TP. HCM",images/bap_nuong_ba_chieu__chung_cu_my_phuoc_513.jpg
124,Mì Quảng 85,"Đầu Hẻm 85 Trần Quang Diệu, Quận 3, TP. HCM",images/ba_con_soc__bbq__sushi__truong_inh_668.jpg
125,Bánh Mì Que Chip - Hòa Hảo,"355 Hòa Hảo, P. 5, Quận 10, TP. HCM",images/ba_huy__mi_vit_tiem_160.jpg
126,Daiichi - Ramen & Curry - Thái Văn Lung,"8A/2B2 Thái Văn Lung, P. Bến Nghé, Quận 1, TP. HCM",images/ba_xa_vegan__nha_hang_chay__nguyen_van_troi_684.jpg
127,Bún Đậu Homemade - Nguyễn Gia Trí,"213 Nguyễn Gia Trí, P. 25, Quận Bình Thạnh, TP. HCM",images/bebebop__quan_an_han_quoc_553.jpg
128,Cơm Tấm Phúc Lộc Thọ - Nơ Trang Long,"478 Nơ Trang Long, P. 13, Quận Bình Thạnh, TP. HCM",images/beefsteak_hai_con_bo__nguyen_cu_trinh_403.jpg
129,Bột - Healthy Food & Cơm Văn Phòng- Lê Văn Duyệt - Shop Online,"87/53A Lê Văn Duyệt, P. 3, Quận Bình Thạnh, TP. HCM",images/beefsteak_luc_nguyen__cach_mang_thang_8_432.jpg
130,Xinh Healthy Food - Shop Online,"35/90A Xô Viết Nghệ Tĩnh, P. 17, Quận Bình Thạnh, TP. HCM",images/beefsteak__mi_y__salad_cow_express__cao_thang_146.jpg
131,Trà Sữa Maycha - Nguyễn Văn Nghi,"41 Nguyễn Văn Nghi, P. 4, Quận Gò Vấp, TP. HCM",images/bento_delichi__com_ga_xoi_mo_com_ga_mam_toi__quan_3_221.jpg
132,Gà rán và Mì Ý - Jollibee - Đặng Văn Bi,"102 Đặng Văn Bi, P. Bình Thọ, Tp. Thủ Đức, TP. HCM",images/bep_nha_56__banh_mi_chao__phan_inh_phung_349.jpg
133,Yến Hương Giang - Bún Bò Huế,"325 Võ Văn Tần, P. 5, Quận 3, TP. HCM",images/bep_nha_56__banh_mi_chao__phan_inh_phung_377.jpg
